Aleutians East,AK,66.3593739,-128.892553
Aleutians West,AK,64.1932177,-141.3978202
Anchorage,AK,61.4754736,-148.3469763
Bethel,AK,66.1543696,-144.4724755
Bristol Bay,AK,59.1262597,-155.7547936
Denali,AK,65.0578366,-145.6338829
Dillingham,AK,61.2126821,-153.626358
Fairbanks North Star,AK,65.5504862,-144.4254653
Haines,AK,60.5733864,-130.9020995
Juneau,AK,59.2913983,-132.4280429
Kenai Peninsula,AK,61.4798843,-147.2843636
Ketchikan Gateway,AK,55.9126322,-130.3648109
Kodiak Island,AK,59.0381752,-149.1680347
Lake and Peninsula,AK,59.5258889,-152.5003281
Matanuska-Susitna,AK,63.5604794,-146.0750148
Nome,AK,72.9602054,-131.4733912
North Slope,AK,80.4836566,-87.2964196
Northwest Arctic,AK,68.3651614,-155.936362
Prince of Wales-Outer Ketchikan,AK,56.1284872,-130.5555079
Sitka,AK,58.3843367,-133.4607425
Skagway-Hoonah-Angoon,AK,59.7863421,-131.9411891
Southeast Fairbanks,AK,65.1865802,-139.5317993
Valdez-Cordova,AK,62.8131158,-140.0168191
Wade Hampton,AK,63.4513296,-158.7940186
Wrangell-Petersburg,AK,58.2165541,-128.4186738
Yakutat,AK,61.2507202,-135.7861058
Yukon-Koyukuk,AK,68.0784056,-145.2344983
Autauga,AL,32.8795484,-85.987417
Baldwin,AL,30.9079154,-87.2640957
Barbour,AL,32.1201925,-84.8427274
Bibb,AL,33.1059529,-86.8861707
Blount,AL,34.3099606,-85.987417
Bullock,AL,32.2085338,-85.4695184
Butler,AL,31.8278367,-86.4049895
Calhoun,AL,33.9184346,-85.5515412
Chambers,AL,33.0525686,-85.0988462
Cherokee,AL,34.4614455,-85.1723404
Chilton,AL,33.0940853,-86.4049895
Choctaw,AL,32.3737251,-87.7338807
Clarke,AL,32.0035339,-87.2640957
Clay,AL,33.4286492,-85.5925048
Cleburne,AL,33.9229659,-85.0077864
Coffee,AL,31.6272537,-85.7560385
Colbert,AL,34.8583812,-87.6381263
Conecuh,AL,31.8055093,-86.4701912
Coosa,AL,33.0802284,-85.9190571
Covington,AL,31.4590541,-86.2435358
Crenshaw,AL,31.9705835,-85.8254385
Cullman,AL,34.4959456,-86.3097965
Dale,AL,31.6166836,-85.4284592
Dallas,AL,32.5347387,-86.6300519
De Kalb,AL,34.8148038,-85.1723404
Elmore,AL,32.7150424,-85.7560385
Escambia,AL,30.9456612,-86.8291223
Etowah,AL,34.1933319,-85.7968416
Fayette,AL,33.8355599,-87.5202145
Franklin,AL,34.6908493,-87.1064003
Geneva,AL,31.2517915,-85.4284592
Greene,AL,33.2708497,-87.4212427
Hale,AL,32.9358718,-87.3625191
Henry,AL,31.5991201,-84.9332857
Houston,AL,31.2845616,-85.057503
Jackson,AL,35.0020365,-85.4999197
Jefferson,AL,33.7886727,-86.4701912
Lamar,AL,33.8407766,-87.8339574
Lauderdale,AL,35.0304053,-87.4019942
Lawrence,AL,34.7143083,-87.0454944
Lee,AL,32.7391638,-85.1401581
Limestone,AL,34.9265103,-86.6862613
Lowndes,AL,32.3723718,-86.4049895
Macon,AL,32.5237732,-85.4284592
Madison,AL,34.8705759,-86.2435358
Marengo,AL,32.5473911,-87.2640957
Marion,AL,34.3394593,-87.2640957
Marshall,AL,34.5124669,-86.0815573
Mobile,AL,30.9150409,-87.7338807
Monroe,AL,31.8158114,-86.9481594
Montgomery,AL,32.5093545,-85.6629383
Morgan,AL,34.571221,-86.6060639
Perry,AL,32.7491647,-87.0454944
Pickens,AL,33.4830243,-87.8339574
Pike,AL,31.9910561,-85.7560385
Randolph,AL,33.417294,-85.2639052
Russell,AL,32.5059346,-84.9332857
St. Clair,AL,33.9497135,-85.8254385
Shelby,AL,33.6018342,-86.1488707
Sumter,AL,32.9157993,-87.7338807
Talladega,AL,33.720667,-85.6222321
Tallapoosa,AL,33.219339,-85.336386
Tuscaloosa,AL,33.6206057,-86.9481594
Walker,AL,34.1523572,-86.7893756
Washington,AL,31.646692,-87.7338807
Wilcox,AL,32.3128085,-86.8291223
Winston,AL,34.3165905,-87.0852411
Apache,AZ,36.6851506,-107.3293704
Cochise,AZ,32.4331881,-108.9252109
Coconino,AZ,36.8166339,-109.4263349
Gila,AZ,34.2295413,-109.4970708
Graham,AZ,33.6731459,-108.7346924
Greenlee,AZ,33.8357794,-108.258678
La Paz,AZ,34.5960227,-112.9291715
Maricopa,AZ,33.8866645,-111.4046713
Mohave,AZ,36.3727681,-111.7143326
Navajo,AZ,36.5576881,-108.0913092
